NAME,CREDIT
불교와인간,2
자아와명상1,1
자아와명상2,1
BasicEAS,0
기술보고서작성및발표,3
존재와역사명작세미나,3
경제와사회명작세미나,3
자연과기술명작세미나,3
문화와예술명작세미나,3
지혜와자비명작세미나,3
외국인을위한대학글쓰기,3
디지털시대의글쓰기,3
커리어 디자인(열린전공학부),1
EAS1,2
EAS2,2
Global English1,3
Global English2,3
예술하는AI-기술이묻고예술이답하다,2
포스트휴먼시대의인간과기계,2
동물의마음:인간과의공존가능성,2
"언어,뇌,해부",2
인류의지적여정과위대한발명,2
한류콘텐츠와글로벌감수성,2
다문화이해와문화콘텐츠기획,2
수와물리로본예술의세계,2
자원과이데올로기로본전쟁이야기,2
미래도시와로컬크리에이팅프로젝트,2
지속가능한미래와ESG,2
"우주시대,우주산업",2
컴퓨팅사고,2
프로그래밍입문,2
자율사물입문,2
인공지능과 미래사회,2
디지털 기술과 사회의 이해(인문사회예체능계열),3
디지털 기술과 사회의 이해(자연공학계열),3
프로그래밍 이해와 실습(인문사회예체능계열),3
프로그래밍 이해와 실습(자연공학계열),3
커리어 디자인,1
한국사회의이슈,3
한국의역사와전통,3
한국명작의이해,3
한중텍스트소통,3
한국대중문화이해,3
대학한국어Ⅰ(발표와토론),2
대학한국어Ⅰ(독해와작문),2
대학한국어Ⅱ(발표와토론),2
대학한국어Ⅱ(독해와작문),3
한국의법과정치,2
한국의경제와경영,2
수학과통계의이해,2
과학기술의이해,2
글로벌한국문화,3
기업가정신과 리더십,2
